,Restaurant ID,Restaurant Name,Country Code,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Price range,Aggregate rating,Rating color,Rating text,Votes,Country
865,301728,Desire Foods,1,Faridabad,Badarpur Border,77.3066401,28.4900591,"Chinese, Fast Food, Bakery",250,Indian Rupees(Rs.),No,No,0-500,2.9,Orange,Average,4,India
866,5992,Knight Rock,1,Faridabad,Badarpur Border,77.304776,28.4901567,"North Indian, Chinese",500,Indian Rupees(Rs.),No,No,500-1000,2.8,Orange,Average,16,India
867,301730,Punjab Restaurant,1,Faridabad,Badarpur Border,77.305563,28.4901368,North Indian,150,Indian Rupees(Rs.),No,No,0-500,2.8,Orange,Average,8,India
868,301729,Raju Dhaba,1,Faridabad,Badarpur Border,77.3061016,28.4900979,North Indian,150,Indian Rupees(Rs.),No,No,0-500,2.9,Orange,Average,8,India
869,301731,Rakheja Bakery,1,Faridabad,Badarpur Border,77.3057446,28.490062,Bakery,100,Indian Rupees(Rs.),No,No,0-500,2.8,Orange,Average,7,India
870,311053,Snax Points,1,Faridabad,Badarpur Border,77.3053835,28.4901198,"Chinese, North Indian, Fast Food",300,Indian Rupees(Rs.),No,No,0-500,3.0,Orange,Average,4,India
871,9299,Aggarwal Sweet Corner,1,Faridabad,Badarpur Border,77.30274167,28.49629167,Mithai,100,Indian Rupees(Rs.),No,No,0-500,0.0,White,Not rated,1,India
872,9178,Kashyap Vaishno Dhaba,1,Faridabad,Badarpur Border,77.303542,28.4959154,North Indian,100,Indian Rupees(Rs.),No,No,0-500,0.0,White,Not rated,3,India
873,18477319,Total Food Court,1,Faridabad,Badarpur Border,0.0,0.0,"North Indian, Mughlai, Chinese",400,Indian Rupees(Rs.),No,No,0-500,0.0,White,Not rated,3,India
874,18433852,The Chaiwalas,1,Faridabad,Badkal Lake,77.3000877,28.4262842,Cafe,300,Indian Rupees(Rs.),No,No,0-500,0.0,White,Not rated,0,India
875,304046,Cafe And More,1,Faridabad,Charmwood Village,77.2905651,28.4946638,"Fast Food, North Indian",300,Indian Rupees(Rs.),No,No,0-500,2.9,Orange,Average,4,India
876,309936,Green Chick Chop,1,Faridabad,Charmwood Village,77.2905276,28.4946804,"Raw Meats, North Indian, Fast Food",350,Indian Rupees(Rs.),No,No,0-500,3.0,Orange,Average,7,India
877,309927,Kolkata Hot Kathi Rolls,1,Faridabad,Charmwood Village,77.2918292,28.4922473,"Fast Food, Chinese",300,Indian Rupees(Rs.),No,No,0-500,2.9,Orange,Average,11,India
878,18377449,Aapki Rasoi,1,Faridabad,Charmwood Village,77.2918292,28.4990636,North Indian,200,Indian Rupees(Rs.),No,No,0-500,0.0,White,Not rated,1,India
879,18465871,Fusion Food Corner,1,Faridabad,Charmwood Village,0.0,0.0,"North Indian, Chinese",300,Indian Rupees(Rs.),No,No,0-500,0.0,White,Not rated,0,India
880,18472646,Punjabi Rasoi,1,Faridabad,Charmwood Village,77.292431,28.4923251,North Indian,400,Indian Rupees(Rs.),No,No,0-500,0.0,White,Not rated,0,India
881,18037826,Kebab Xpress,1,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",77.3074479,28.4698631,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,Yes,500-1000,2.8,Orange,Average,49,India
882,301163,McDonald's,1,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",77.3074479,28.4695043,"Fast Food, Burger",500,Indian Rupees(Rs.),No,No,500-1000,3.4,Orange,Average,58,India
883,4931,Suruchi,1,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",77.3074479,28.4701322,"North Indian, South Indian, Gujarati, Rajasthani",700,Indian Rupees(Rs.),No,No,500-1000,3.4,Orange,Average,233,India
884,1804,Berco's,1,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",77.3072684,28.4700256,"Chinese, Thai",1100,Indian Rupees(Rs.),No,Yes,1000-2000,3.8,Yellow,Good,508,India
885,312102,Dunkin' Donuts,1,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",77.3074031,28.4693655,"Burger, Desserts, Fast Food",600,Indian Rupees(Rs.),No,Yes,500-1000,3.6,Yellow,Good,98,India
886,18217857,The Chocolate Room,1,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",77.3074031,28.4693655,"Cafe, Desserts",900,Indian Rupees(Rs.),No,Yes,500-1000,3.6,Yellow,Good,59,India
887,18471268,Baskin Robbin,1,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",77.3074479,28.469594,Desserts,300,Indian Rupees(Rs.),No,No,0-500,0.0,White,Not rated,0,India
888,18381244,Popcorn Fusion,1,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",77.3074031,28.4693655,Fast Food,200,Indian Rupees(Rs.),No,No,0-500,0.0,White,Not rated,1,India
889,18408041,Subway,1,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",77.3074928,28.4700019,"American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,No,500-1000,0.0,White,Not rated,2,India
890,311051,KFC,1,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",77.30706006,28.46980656,"American, Fast Food, Burger",500,Indian Rupees(Rs.),No,Yes,500-1000,2.1,Red,Poor,57,India
891,18133510,Barbeque Nation,1,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",77.3073785,28.4698629,North Indian,1600,Indian Rupees(Rs.),No,No,1000-2000,4.0,Green,Very Good,299,India
892,308380,Yo! China,1,Faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",77.3074031,28.4693655,Chinese,1300,Indian Rupees(Rs.),No,Yes,1000-2000,4.1,Green,Very Good,239,India
893,6077,Giani's,1,Faridabad,"Crown Plaza Mall, Sector 15, Faridabad",77.3130127,28.3980691,"Ice Cream, Desserts",400,Indian Rupees(Rs.),No,No,0-500,3.2,Orange,Average,16,India
894,308082,Momo-Cha,1,Faridabad,"Crown Plaza Mall, Sector 15, Faridabad",77.3130127,28.3979794,Fast Food,200,Indian Rupees(Rs.),No,Yes,0-500,2.7,Orange,Average,16,India
